timestamp,left_hand_pos_x,left_hand_pos_y,left_hand_pos_z,right_hand_pos_x,right_hand_pos_y,right_hand_pos_z,left_hand_rot_angle,right_hand_rot_angle,leftHand_head_dist,rightHand_head_dist,leftHand_rightHand_dist
0,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
1,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
2,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
3,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
4,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
5,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
6,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
7,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
8,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
9,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
10,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
11,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
12,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
13,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
14,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
15,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
16,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
17,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
18,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
19,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
20,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
21,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
22,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
23,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
24,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
25,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
26,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
27,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
28,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
29,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
30,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
31,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
32,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
33,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
34,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
35,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
36,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
37,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
38,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
39,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
40,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
41,-0.12,-0.7,-0.25,0.05,-0.53,0.09,0.0,0.0,0.76,0.54,0.42
