timestamp,left_thumb_flex,left_index_flex,left_middle_flex,left_ring_flex,left_pinky_flex,left_thumb_curl,left_index_curl,left_middle_curl,left_ring_curl,left_pinky_curl,right_thumb_flex,right_index_flex,right_middle_flex,right_ring_flex,right_pinky_flex,right_thumb_curl,right_index_curl,right_middle_curl,right_ring_curl,right_pinky_curl
0,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
1,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
2,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
3,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True
4,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False
5,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
6,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,False
7,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True
8,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True,False
9,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True,False
10,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True,False
11,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True,False
12,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True,False
13,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True,False
14,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True,False
