timestamp,user_head_pos_x,user_head_pos_y,user_head_pos_z,left_palm_pos_x,left_palm_pos_y,left_palm_pos_z,left_palm_axis_x,left_palm_axis_y,left_palm_axis_z,right_palm_pos_x,right_palm_pos_y,right_palm_pos_z,right_palm_axis_x,right_palm_axis_y,right_palm_axis_z
0,-0.14,1.22,0.77,-0.27,0.82,0.24,0.53,-0.85,0.01,-0.08,1.07,0.34,-0.23,-0.74,0.64
1,-0.14,1.23,0.77,-0.27,0.82,0.24,0.51,-0.86,0.0,-0.08,1.07,0.34,-0.2,-0.73,0.65
2,-0.14,1.23,0.77,-0.27,0.83,0.24,0.49,-0.87,-0.0,-0.09,1.06,0.35,-0.3,-0.74,0.6
3,-0.14,1.23,0.76,-0.27,0.83,0.24,0.47,-0.88,-0.0,-0.11,1.04,0.37,-0.61,-0.7,0.36
4,-0.14,1.23,0.76,-0.28,0.83,0.23,0.44,-0.9,-0.0,-0.14,1.01,0.37,-0.81,-0.59,-0.01
5,-0.14,1.22,0.76,-0.28,0.83,0.24,0.43,-0.9,-0.01,-0.17,0.98,0.34,-0.9,-0.27,-0.33
6,-0.14,1.22,0.76,-0.28,0.83,0.24,0.42,-0.91,-0.01,-0.2,0.97,0.32,-0.85,0.2,-0.49
7,-0.14,1.22,0.76,-0.28,0.84,0.23,0.36,-0.93,0.01,-0.23,0.98,0.29,-0.62,0.67,-0.41
8,-0.14,1.22,0.76,-0.28,0.85,0.24,0.32,-0.95,0.02,-0.25,1.0,0.28,-0.31,0.91,-0.26
9,-0.15,1.22,0.77,-0.28,0.85,0.24,0.33,-0.94,0.01,-0.25,1.03,0.27,0.02,1.0,-0.1
10,-0.15,1.22,0.77,-0.28,0.84,0.25,0.32,-0.95,0.04,-0.25,1.03,0.27,0.11,0.99,-0.05
11,-0.15,1.22,0.77,-0.28,0.84,0.25,0.32,-0.95,0.03,-0.25,1.03,0.27,0.11,0.99,-0.05
12,-0.15,1.22,0.76,-0.28,0.84,0.24,0.32,-0.95,0.0,-0.25,1.03,0.27,0.11,0.99,-0.08
13,-0.15,1.22,0.76,-0.28,0.84,0.24,0.31,-0.95,-0.01,-0.25,1.03,0.27,0.1,0.99,-0.09
14,-0.14,1.22,0.76,-0.28,0.85,0.24,0.3,-0.95,0.01,-0.25,1.02,0.27,0.09,0.99,-0.09
