timestamp,gaze_ray_direction_x,gaze_ray_direction_y,gaze_ray_direction_z,gaze_point_x,gaze_point_y,gaze_point_z,on_target,target_name,target_center_x,target_center_y,target_center_z,target_size_x,target_size_y,target_size_z,user_head_pos_x,user_head_pos_y,user_head_pos_z,left_palm_pos_x,left_palm_pos_y,left_palm_pos_z,left_palm_axis_x,left_palm_axis_y,left_palm_axis_z,right_palm_pos_x,right_palm_pos_y,right_palm_pos_z,right_palm_axis_x,right_palm_axis_y,right_palm_axis_z,left_thumb_flex,left_index_flex,left_middle_flex,left_ring_flex,left_pinky_flex,left_thumb_curl,left_index_curl,left_middle_curl,left_ring_curl,left_pinky_curl,right_thumb_flex,right_index_flex,right_middle_flex,right_ring_flex,right_pinky_flex,right_thumb_curl,right_index_curl,right_middle_curl,right_ring_curl,right_pinky_curl
15990,-0.19,-0.45,0.87,-0.17,0.89,1.35,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.2,0.75,-0.27,0.84,0.22,0.92,-0.32,0.21,0.1,0.82,0.24,-0.92,-0.39,0.1,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
16024,-0.19,-0.45,0.87,-0.17,0.89,1.35,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.2,0.75,-0.27,0.84,0.22,0.93,-0.31,0.21,0.1,0.82,0.24,-0.92,-0.39,0.1,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
16068,-0.19,-0.45,0.87,-0.17,0.89,1.35,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.2,0.75,-0.27,0.84,0.22,0.93,-0.31,0.21,0.1,0.82,0.24,-0.92,-0.39,0.1,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
16111,-0.19,-0.45,0.87,-0.17,0.89,1.35,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.2,0.75,-0.27,0.84,0.22,0.93,-0.31,0.21,0.1,0.82,0.24,-0.92,-0.38,0.1,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
16145,-0.19,-0.45,0.87,-0.17,0.89,1.35,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.2,0.75,-0.27,0.84,0.22,0.93,-0.31,0.21,0.1,0.82,0.24,-0.92,-0.39,0.1,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
16189,-0.19,-0.45,0.87,-0.16,0.89,1.35,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.2,0.75,-0.27,0.84,0.22,0.93,-0.3,0.21,0.1,0.82,0.24,-0.92,-0.39,0.1,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
16223,-0.19,-0.45,0.87,-0.16,0.89,1.35,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.2,0.75,-0.27,0.84,0.22,0.93,-0.3,0.21,0.1,0.81,0.24,-0.92,-0.38,0.1,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
16267,-0.19,-0.45,0.87,-0.17,0.89,1.35,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.2,0.75,-0.27,0.84,0.22,0.93,-0.3,0.2,0.1,0.81,0.23,-0.92,-0.38,0.1,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
16301,-0.19,-0.45,0.87,-0.17,0.89,1.35,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.2,0.75,-0.26,0.84,0.22,0.93,-0.3,0.2,0.1,0.82,0.23,-0.92,-0.39,0.1,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
16345,-0.19,-0.45,0.87,-0.17,0.89,1.35,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.2,0.75,-0.26,0.84,0.22,0.93,-0.3,0.19,0.1,0.82,0.23,-0.92,-0.39,0.09,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
