timestamp,gaze_ray_direction_x,gaze_ray_direction_y,gaze_ray_direction_z,gaze_point_x,gaze_point_y,gaze_point_z,on_target,target_name,target_center_x,target_center_y,target_center_z,target_size_x,target_size_y,target_size_z,user_head_pos_x,user_head_pos_y,user_head_pos_z,left_palm_pos_x,left_palm_pos_y,left_palm_pos_z,left_palm_axis_x,left_palm_axis_y,left_palm_axis_z,right_palm_pos_x,right_palm_pos_y,right_palm_pos_z,right_palm_axis_x,right_palm_axis_y,right_palm_axis_z,left_thumb_flex,left_index_flex,left_middle_flex,left_ring_flex,left_pinky_flex,left_thumb_curl,left_index_curl,left_middle_curl,left_ring_curl,left_pinky_curl,right_thumb_flex,right_index_flex,right_middle_flex,right_ring_flex,right_pinky_flex,right_thumb_curl,right_index_curl,right_middle_curl,right_ring_curl,right_pinky_curl
15982,-0.17,-0.47,0.87,-0.14,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.94,-0.22,0.25,0.08,0.82,0.28,-0.93,-0.37,-0.01,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
16015,-0.17,-0.46,0.87,-0.14,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.94,-0.22,0.25,0.08,0.82,0.28,-0.93,-0.37,-0.01,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
16049,-0.17,-0.46,0.87,-0.14,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.94,-0.21,0.25,0.08,0.82,0.28,-0.93,-0.37,-0.02,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
16092,-0.17,-0.47,0.87,-0.14,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.94,-0.21,0.25,0.08,0.82,0.28,-0.93,-0.37,-0.02,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
16134,-0.17,-0.47,0.87,-0.14,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.95,-0.21,0.25,0.08,0.82,0.28,-0.93,-0.37,-0.02,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
16169,-0.17,-0.47,0.87,-0.14,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.95,-0.21,0.25,0.08,0.82,0.28,-0.93,-0.37,-0.01,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
16213,-0.16,-0.47,0.87,-0.14,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.95,-0.21,0.25,0.08,0.82,0.28,-0.93,-0.37,-0.01,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
16248,-0.16,-0.47,0.87,-0.14,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.95,-0.21,0.25,0.08,0.82,0.28,-0.93,-0.37,-0.01,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
16292,-0.17,-0.47,0.87,-0.14,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.95,-0.21,0.25,0.08,0.82,0.28,-0.93,-0.37,-0.01,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
16336,-0.17,-0.47,0.87,-0.14,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.95,-0.21,0.25,0.08,0.82,0.28,-0.93,-0.37,-0.01,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
16371,-0.17,-0.47,0.87,-0.15,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.94,-0.21,0.25,0.08,0.83,0.28,-0.93,-0.37,-0.01,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
16415,-0.17,-0.47,0.87,-0.15,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.94,-0.21,0.25,0.07,0.83,0.28,-0.93,-0.36,-0.01,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
16459,-0.17,-0.47,0.87,-0.15,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.94,-0.21,0.25,0.06,0.85,0.28,-0.93,-0.36,-0.01,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
16493,-0.17,-0.47,0.87,-0.15,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.94,-0.21,0.26,0.04,0.87,0.28,-0.93,-0.36,-0.0,False,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
16537,-0.17,-0.47,0.87,-0.15,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.94,-0.21,0.26,0.03,0.88,0.29,-0.93,-0.36,0.0,False,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
16581,-0.17,-0.47,0.87,-0.15,0.87,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.94,-0.21,0.26,0.02,0.88,0.29,-0.94,-0.35,-0.0,False,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
16616,-0.17,-0.47,0.87,-0.15,0.87,1.37,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.02,1.22,0.74,-0.26,0.8,0.19,0.94,-0.22,0.27,0.01,0.88,0.3,-0.93,-0.36,0.0,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16659,-0.17,-0.47,0.86,-0.15,0.87,1.37,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.22,0.74,-0.27,0.8,0.19,0.94,-0.22,0.27,0.0,0.88,0.31,-0.93,-0.36,0.01,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16704,-0.17,-0.47,0.86,-0.15,0.87,1.37,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.22,0.74,-0.27,0.8,0.19,0.94,-0.22,0.27,-0.0,0.88,0.32,-0.93,-0.37,0.02,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
16738,-0.17,-0.47,0.86,-0.15,0.87,1.37,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.22,0.74,-0.27,0.8,0.19,0.93,-0.23,0.28,-0.01,0.88,0.33,-0.93,-0.38,0.02,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
16782,-0.17,-0.48,0.86,-0.15,0.87,1.37,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.22,0.74,-0.27,0.8,0.19,0.93,-0.23,0.28,-0.01,0.87,0.34,-0.93,-0.37,0.02,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
16826,-0.17,-0.47,0.86,-0.16,0.87,1.37,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.22,0.74,-0.27,0.8,0.19,0.93,-0.23,0.28,-0.02,0.87,0.34,-0.93,-0.37,0.01,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
16860,-0.17,-0.47,0.86,-0.15,0.87,1.37,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.22,0.74,-0.27,0.8,0.19,0.93,-0.24,0.28,-0.03,0.87,0.34,-0.93,-0.36,-0.01,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
16904,-0.17,-0.48,0.86,-0.15,0.87,1.37,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.22,0.74,-0.27,0.8,0.19,0.93,-0.24,0.28,-0.03,0.87,0.34,-0.93,-0.36,-0.02,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
16938,-0.16,-0.48,0.86,-0.15,0.87,1.37,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.22,0.74,-0.27,0.8,0.19,0.93,-0.24,0.28,-0.03,0.86,0.34,-0.93,-0.36,-0.02,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
16982,-0.16,-0.48,0.86,-0.15,0.86,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.22,0.74,-0.27,0.8,0.19,0.93,-0.24,0.28,-0.03,0.86,0.34,-0.93,-0.37,-0.02,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
17016,-0.15,-0.48,0.86,-0.14,0.86,1.38,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.22,0.74,-0.27,0.8,0.19,0.93,-0.24,0.28,-0.03,0.86,0.35,-0.93,-0.36,-0.01,False,False,True,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
17060,-0.15,-0.48,0.87,-0.14,0.85,1.39,True,Milk Bottle,-0.2,0.91,1.46,0.05,1.08,1.5,-0.03,1.22,0.74,-0.27,0.8,0.19,0.93,-0.24,0.28,-0.03,0.85,0.35,-0.94,-0.34,-0.02,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
17104,0.05,-0.49,0.87,0.03,0.75,1.56,False,None,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,1.21,0.74,-0.27,0.8,0.19,0.93,-0.24,0.27,-0.03,0.85,0.35,-0.95,-0.32,-0.02,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
